Time (s),I_meas (mA)
9.49,41.45493288428715
9.5,41.45493288428715
9.51,41.45493288428715
9.52,41.45493288428715
9.529999999999999,41.45493288428715
9.540000000000001,41.45493288428715
9.550000000000001,39.77642490094871
9.56,33.06239296759497
9.57,33.06239296759497
9.58,33.06239296759497
9.59,33.06239296759497
9.6,33.06239296759497
9.609999999999999,33.06239296759497
9.620000000000001,33.06239296759497
9.630000000000001,33.06239296759497
9.640000000000001,33.06239296759497
9.65,33.06239296759497
9.66,33.06239296759497
9.67,33.06239296759497
9.68,33.06239296759497
9.69,33.06239296759497
9.700000000000001,33.06239296759497
9.710000000000001,33.06239296759497
9.720000000000001,33.06239296759497
9.73,31.38388498425653
9.74,31.38388498425653
9.75,33.06239296759497
9.76,33.06239296759497
9.77,33.06239296759497
9.779999999999999,33.06239296759497
9.790000000000001,33.06239296759497
9.800000000000001,33.06239296759497
9.81,33.06239296759497
9.82,33.06239296759497
9.83,33.06239296759497
9.84,33.06239296759497
9.85,33.06239296759497
9.859999999999999,33.06239296759497
9.870000000000001,33.06239296759497
9.880000000000001,33.06239296759497
9.890000000000001,33.06239296759497
9.9,33.06239296759497
9.91,33.06239296759497
9.92,33.06239296759497
9.93,33.06239296759497
9.94,33.06239296759497
9.950000000000001,33.06239296759497
9.960000000000001,33.06239296759497
9.970000000000001,33.06239296759497
9.98,33.06239296759497
9.99,33.06239296759497
10,33.06239296759497
10.01,33.06239296759497
10.02,33.06239296759497
10.03,33.06239296759497
10.04,33.06239296759497
10.05,31.38388498425653
10.06,33.06239296759497
10.07,33.06239296759497
10.08,33.06239296759497
10.09,33.06239296759497
10.1,33.06239296759497
10.11,33.06239296759497
10.12,33.06239296759497
10.13,33.06239296759497
10.14,33.06239296759497
10.15,33.06239296759497
10.16,33.06239296759497
10.17,33.06239296759497
10.18,33.06239296759497
10.19,33.06239296759497
10.2,33.06239296759497
10.21,33.06239296759497
10.22,33.06239296759497
10.23,33.06239296759497
10.24,33.06239296759497
10.25,33.06239296759497
10.26,33.06239296759497
10.27,33.06239296759497
10.28,33.06239296759497
10.29,33.06239296759497
10.3,33.06239296759497
10.31,33.06239296759497
10.32,33.06239296759497
10.33,33.06239296759497
10.34,33.06239296759497
10.35,33.06239296759497
10.36,33.06239296759497
10.37,33.06239296759497
10.38,33.06239296759497
10.39,33.06239296759497
10.4,33.06239296759497
10.41,33.06239296759497
10.42,33.06239296759497
10.43,33.06239296759497
10.44,33.06239296759497
10.45,33.06239296759497
10.46,33.06239296759497
10.47,33.06239296759497
10.48,33.06239296759497
10.49,33.06239296759497
10.5,33.06239296759497
10.51,33.06239296759497
10.52,33.06239296759497
10.53,33.06239296759497
10.54,33.06239296759497
10.55,34.7409009509334
10.56,41.45493288428715
10.57,41.45493288428715
10.58,41.45493288428715
10.59,41.45493288428715
10.6,41.45493288428715
10.61,41.45493288428715
10.62,41.45493288428715
10.63,41.45493288428715
10.64,41.45493288428715
10.65,41.45493288428715
10.66,41.45493288428715
10.67,41.45493288428715
10.68,41.45493288428715
10.69,41.45493288428715
10.7,41.45493288428715
10.71,41.45493288428715
10.72,41.45493288428715
10.73,41.45493288428715
10.74,41.45493288428715
10.75,41.45493288428715
10.76,41.45493288428715
10.77,41.45493288428715
10.78,41.45493288428715
10.79,41.45493288428715
10.8,41.45493288428715
10.81,41.45493288428715
10.82,41.45493288428715
10.83,41.45493288428715
10.84,41.45493288428715
10.85,41.45493288428715
10.86,41.45493288428715
10.87,41.45493288428715
10.88,41.45493288428715
10.89,41.45493288428715
10.9,41.45493288428715
10.91,41.45493288428715
10.92,41.45493288428715
10.93,41.45493288428715
10.94,41.45493288428715
10.95,41.45493288428715
10.96,41.45493288428715
10.97,41.45493288428715
10.98,41.45493288428715
10.99,41.45493288428715
11,41.45493288428715
11.01,41.45493288428715
11.02,41.45493288428715
11.03,41.45493288428715
11.04,41.45493288428715
11.05,41.45493288428715
11.06,41.45493288428715
11.07,41.45493288428715
11.08,41.45493288428715
11.09,41.45493288428715
11.1,41.45493288428715
11.11,41.45493288428715
11.12,41.45493288428715
11.13,41.45493288428715
11.14,41.45493288428715
11.15,41.45493288428715
11.16,41.45493288428715
11.17,41.45493288428715
11.18,41.45493288428715
11.19,41.45493288428715
11.2,41.45493288428715
11.21,41.45493288428715
